Case30Linear Constraints using python code, no SDP and uptri vars.
B, CRad, Time
0.001 , 0.00200099964897 , 36217.8010358
0.005 , 0.011300999649 , 49811.453777
0.01 , 0.022800999649 , 81609.1724765
